PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Effective_Price,Spend_USD,Period,NAICS6,EF_kg_per_USD,EF_missing_initial,EF_imputed,Emissions_tCO2e,Method,Data_Quality
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,,No,38.89,7000.2,2023,325199,1.51,False,False,10.570302,Spend-based,Secondary
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,,Yes,23.75,32822.5,2023,325199,1.51,False,False,49.561975,Spend-based,Secondary
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29.0,Yes,77.03,63087.57,2022,333999,0.26,False,False,16.4027682,Spend-based,Secondary
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,66.31,26059.83,2023,453210,0.163,False,False,4.24775229,Spend-based,Secondary
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,20.09,31440.85,2023,333999,0.26,False,False,8.174621,Spend-based,Secondary
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,,Yes,17.24,25635.879999999997,2023,322211,0.49,False,False,12.5615812,Spend-based,Secondary
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,67.16,57421.799999999996,2023,333999,0.26,False,False,14.929668,Spend-based,Secondary
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,15.84,6890.4,2022,325199,1.51,False,False,10.404504,Spend-based,Secondary
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,79.47,100529.55,2023,333999,0.26,False,False,26.137683000000003,Spend-based,Secondary
PO-00030,Epsilon_Group,2023-08-27,,MRO,Delivered,1005,80.55,73.31,30.0,Yes,73.31,73676.55,2023,333999,0.26,False,False,19.155903000000002,Spend-based,Secondary
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,,No,15.92,5189.92,2022,334111,0.112,False,False,0.58127104,Spend-based,Secondary
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,15.66,19324.44,2022,453210,0.163,False,False,3.1498837199999996,Spend-based,Secondary
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,97.82,49790.38,2022,333999,0.26,False,False,12.9454988,Spend-based,Secondary
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,43.71,60625.770000000004,2023,322211,0.49,False,False,29.7066273,Spend-based,Secondary
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,43.18,3065.78,2023,333999,0.26,False,False,0.7971028000000001,Spend-based,Secondary
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,81.52,24619.039999999997,2022,453210,0.163,False,False,4.01290352,Spend-based,Secondary
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,76.15,124429.1,2022,453210,0.163,False,False,20.281943300000002,Spend-based,Secondary
PO-00040,Epsilon_Group,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,39.65,20776.6,2022,453210,0.163,False,False,3.3865857999999998,Spend-based,Secondary
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,15.36,17387.52,2022,334111,0.112,False,False,1.9474022400000002,Spend-based,Secondary
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,77.87,43607.200000000004,2022,453210,0.163,False,False,7.107973600000001,Spend-based,Secondary
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,58.4,102492.0,2023,334111,0.112,False,False,11.479104,Spend-based,Secondary
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,42.42,65708.58,2022,333999,0.26,False,False,17.0842308,Spend-based,Secondary
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,94.16,70525.84,2023,333999,0.26,False,False,18.3367184,Spend-based,Secondary
PO-00046,Alpha_Inc,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,19.25,19731.25,2022,334111,0.112,False,False,2.2099,Spend-based,Secondary
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,50.81,94303.36,2023,325199,1.51,False,False,142.3980736,Spend-based,Secondary
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,11.28,2695.92,2022,453210,0.163,False,False,0.43943496000000004,Spend-based,Secondary
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,,Yes,19.59,19727.13,2023,334111,0.112,False,False,2.20943856,Spend-based,Secondary
PO-00052,Delta_Logistics,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,19.75,12087.0,2022,453210,0.163,False,False,1.970181,Spend-based,Secondary
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes,60.52,79704.84000000001,2023,334111,0.112,False,False,8.92694208,Spend-based,Secondary
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes,95.05,83739.05,2022,325199,1.51,False,False,126.4459655,Spend-based,Secondary
PO-00057,Delta_Logistics,2023-10-06,,Packaging,Delivered,1578,48.33,42.77,206.0,Yes,42.77,67491.06,2023,322211,0.49,False,False,33.0706194,Spend-based,Secondary
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,,Yes,35.44,42669.759999999995,2023,333999,0.26,False,False,11.094137599999998,Spend-based,Secondary
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes,28.81,54508.52,2023,322211,0.49,False,False,26.709174799999996,Spend-based,Secondary
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes,90.18,62765.280000000006,2022,322211,0.49,False,False,30.754987200000002,Spend-based,Secondary
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes,11.04,772.8,2023,333999,0.26,False,False,0.200928,Spend-based,Secondary
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,93.14,82894.6,2022,325199,1.51,False,False,125.17084600000001,Spend-based,Secondary
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes,12.31,2658.96,2022,333999,0.26,False,False,0.6913296,Spend-based,Secondary
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes,94.3,127022.09999999999,2023,322211,0.49,False,False,62.240829,Spend-based,Secondary
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No,56.45,24668.65,2022,453210,0.163,False,False,4.020989950000001,Spend-based,Secondary
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes,88.28,57382.0,2022,334111,0.112,False,False,6.4267840000000005,Spend-based,Secondary
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes,15.41,5624.65,2022,453210,0.163,False,False,0.91681795,Spend-based,Secondary
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes,87.02,25322.82,2022,333999,0.26,False,False,6.583933200000001,Spend-based,Secondary
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes,73.95,45405.3,2023,453210,0.163,False,False,7.401063900000001,Spend-based,Secondary
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes,54.25,51374.75,2023,334111,0.112,False,False,5.753972,Spend-based,Secondary
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,,Yes,69.65,98415.45000000001,2023,325199,1.51,False,False,148.60732950000002,Spend-based,Secondary
PO-00076,Alpha_Inc,2022-06-16,,Office Supplies,Partially Delivered,141,64.15,58.32,,Yes,58.32,8223.12,2022,453210,0.163,False,False,1.3403685600000002,Spend-based,Secondary
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes,83.87,120772.8,2023,453210,0.163,False,False,19.6859664,Spend-based,Secondary
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,,No,12.79,12853.949999999999,2022,325199,1.51,False,False,19.4094645,Spend-based,Secondary
PO-00079,Alpha_Inc,2022-08-03,,MRO,Delivered,1528,36.52,33.0,31.0,No,33.0,50424.0,2022,333999,0.26,False,False,13.11024,Spend-based,Secondary
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No,100.99,151585.99,2023,333999,0.26,False,False,39.4123574,Spend-based,Secondary
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,,No,81.4,45421.200000000004,2022,322211,0.49,False,False,22.256388,Spend-based,Secondary
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,,Yes,50.84,41943.0,2023,333999,0.26,False,False,10.90518,Spend-based,Secondary
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No,33.59,8565.45,2023,325199,1.51,False,False,12.933829500000002,Spend-based,Secondary
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes,26.07,30084.78,2022,333999,0.26,False,False,7.8220428,Spend-based,Secondary
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,54.37,88894.95,2023,453210,0.163,False,False,14.48987685,Spend-based,Secondary
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No,40.12,78033.4,2023,325199,1.51,False,False,117.830434,Spend-based,Secondary
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No,63.39,92612.79,2022,333999,0.26,False,False,24.0793254,Spend-based,Secondary
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,16.12,17329.0,2023,334111,0.112,False,False,1.940848,Spend-based,Secondary
PO-00090,Alpha_Inc,2022-09-08,,Packaging,Delivered,1071,101.6,93.91,25.0,Yes,93.91,100577.61,2022,322211,0.49,False,False,49.2830289,Spend-based,Secondary
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes,73.68,45313.200000000004,2023,325199,1.51,False,False,68.422932,Spend-based,Secondary
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,,Yes,56.28,66354.12,2023,334111,0.112,False,False,7.43166144,Spend-based,Secondary
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes,37.63,69427.35,2022,334111,0.112,False,False,7.775863200000001,Spend-based,Secondary
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No,69.57,107833.49999999999,2023,333999,0.26,False,False,28.036709999999996,Spend-based,Secondary
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,,No,24.37,18326.24,2023,322211,0.49,False,False,8.9798576,Spend-based,Secondary
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes,90.07,40621.57,2022,334111,0.112,False,False,4.54961584,Spend-based,Secondary
PO-00099,Beta_Supplies,2023-12-03,,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes,90.92,70826.68000000001,2023,453210,0.163,False,False,11.544748840000002,Spend-based,Secondary
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2.0,Yes,65.4,13799.400000000001,2022,453210,0.163,False,False,2.2493022000000007,Spend-based,Secondary
PO-00102,Alpha_Inc,2022-08-23,,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,64.48,16184.480000000001,2022,453210,0.163,False,False,2.6380702400000007,Spend-based,Secondary
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes,44.65,46659.25,2022,325199,1.51,False,False,70.4554675,Spend-based,Secondary
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes,89.15,28438.850000000002,2022,333999,0.26,False,False,7.394101000000001,Spend-based,Secondary
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes,92.24,178576.63999999998,2023,453210,0.163,False,False,29.107992319999997,Spend-based,Secondary
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes,10.87,14609.279999999999,2022,334111,0.112,False,False,1.6362393599999998,Spend-based,Secondary
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No,78.28,120159.8,2023,322211,0.49,False,False,58.878302000000005,Spend-based,Secondary
PO-00110,Beta_Supplies,2022-11-19,,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes,96.27,173286.0,2022,453210,0.163,False,False,28.245618000000004,Spend-based,Secondary
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No,65.88,70228.08,2023,325199,1.51,False,False,106.0444008,Spend-based,Secondary
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes,45.86,81401.5,2023,325199,1.51,False,False,122.916265,Spend-based,Secondary
PO-00114,Gamma_Co,2023-02-10,,Raw Materials,Partially Delivered,345,103.62,98.09,25.0,No,98.09,33841.05,2023,325199,1.51,False,False,51.0999855,Spend-based,Secondary
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,,Yes,91.83,165110.34,2023,334111,0.112,False,False,18.492358080000002,Spend-based,Secondary
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes,86.55,66556.95,2023,333999,0.26,False,False,17.304807,Spend-based,Secondary
PO-00117,Alpha_Inc,2022-05-27,,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,47.49,86526.78,2022,322211,0.49,False,False,42.398122199999996,Spend-based,Secondary
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes,45.41,17573.67,2022,322211,0.49,False,False,8.6110983,Spend-based,Secondary
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes,32.52,30178.56,2022,333999,0.26,False,False,7.846425600000001,Spend-based,Secondary
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes,14.97,16856.22,2022,322211,0.49,False,False,8.2595478,Spend-based,Secondary
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes,77.75,155111.25,2023,334111,0.112,False,False,17.37246,Spend-based,Secondary
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes,101.44,26983.04,2022,325199,1.51,False,False,40.7443904,Spend-based,Secondary
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes,59.01,13985.369999999999,2023,334111,0.112,False,False,1.5663614399999999,Spend-based,Secondary
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No,93.11,50465.62,2023,322211,0.49,False,False,24.7281538,Spend-based,Secondary
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes,85.53,95280.42,2023,334111,0.112,False,False,10.67140704,Spend-based,Secondary
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes,30.85,37945.5,2022,333999,0.26,False,False,9.86583,Spend-based,Secondary
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes,50.88,3256.32,2022,333999,0.26,False,False,0.8466432,Spend-based,Secondary
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,,Yes,23.18,43717.479999999996,2023,333999,0.26,False,False,11.3665448,Spend-based,Secondary
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes,101.54,11575.560000000001,2023,453210,0.163,False,False,1.8868162800000001,Spend-based,Secondary
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,MRO,Delivered,570,71.51,66.47,,Yes,66.47,37887.9,2022,333999,0.26,False,False,9.850854000000002,Spend-based,Secondary
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,Raw Materials,Delivered,1417,67.27,60.62,,Yes,60.62,85898.54,2022,325199,1.51,False,False,129.70679539999998,Spend-based,Secondary
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,Raw Materials,Delivered,1202,46.67,44.13,21.0,No,44.13,53044.26,2023,325199,1.51,False,False,80.09683260000001,Spend-based,Secondary
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,Office Supplies,Delivered,697,20.73,19.83,78.0,No,19.83,13821.509999999998,2022,453210,0.163,False,False,2.25290613,Spend-based,Secondary
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,MRO,Delivered,1545,78.19,76.91,42.0,Yes,76.91,118825.95,2023,333999,0.26,False,False,30.894747,Spend-based,Secondary
PO-00140,Gamma_Co,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes,58.25,66172.0,2023,333999,0.26,False,False,17.204720000000002,Spend-based,Secondary
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,MRO,Delivered,1212,87.46,74.55,118.0,No,74.55,90354.59999999999,2023,333999,0.26,False,False,23.492196,Spend-based,Secondary
PO-00142,Epsilon_Group,2022-03-07,2022-03-12,MRO,Delivered,1572,57.38,49.32,40.0,Yes,49.32,77531.04,2022,333999,0.26,False,False,20.1580704,Spend-based,Secondary
PO-00143,Gamma_Co,2023-01-30,2023-02-09,Electronics,Delivered,642,91.9,81.49,26.0,Yes,81.49,52316.579999999994,2023,334111,0.112,False,False,5.859456959999999,Spend-based,Secondary
PO-00144,Epsilon_Group,2023-01-26,2023-02-04,Office Supplies,Delivered,441,63.25,54.12,16.0,Yes,54.12,23866.92,2023,453210,0.163,False,False,3.8903079599999995,Spend-based,Secondary
PO-00145,Epsilon_Group,2023-09-03,2023-09-19,Office Supplies,Delivered,1748,66.53,57.11,,Yes,57.11,99828.28,2023,453210,0.163,False,False,16.27200964,Spend-based,Secondary
PO-00147,Beta_Supplies,2023-06-26,2023-07-14,Raw Materials,Delivered,338,50.25,46.28,49.0,No,46.28,15642.640000000001,2023,325199,1.51,False,False,23.620386400000005,Spend-based,Secondary
PO-00148,Gamma_Co,2022-09-15,2022-09-22,Office Supplies,Delivered,428,22.94,21.52,26.0,Yes,21.52,9210.56,2022,453210,0.163,False,False,1.50132128,Spend-based,Secondary
PO-00149,Beta_Supplies,2023-07-21,,Packaging,Delivered,1846,13.72,12.62,216.0,Yes,12.62,23296.519999999997,2023,322211,0.49,False,False,11.415294799999998,Spend-based,Secondary
PO-00150,Epsilon_Group,2022-01-12,2022-01-17,Office Supplies,Delivered,1563,77.96,70.8,41.0,Yes,70.8,110660.4,2022,453210,0.163,False,False,18.0376452,Spend-based,Secondary
PO-00151,Beta_Supplies,2023-11-28,2023-12-07,Office Supplies,Delivered,280,73.07,69.29,30.0,Yes,69.29,19401.2,2023,453210,0.163,False,False,3.1623956000000004,Spend-based,Secondary
PO-00152,Delta_Logistics,2022-04-28,2022-05-12,Raw Materials,Delivered,1067,74.47,64.16,,No,64.16,68458.72,2022,325199,1.51,False,False,103.3726672,Spend-based,Secondary
PO-00154,Gamma_Co,2023-07-04,2023-07-05,Raw Materials,Delivered,1101,24.28,22.73,59.0,No,22.73,25025.73,2023,325199,1.51,False,False,37.7888523,Spend-based,Secondary
PO-00155,Alpha_Inc,2022-10-01,2022-10-11,Raw Materials,Delivered,184,11.82,10.51,4.0,Yes,10.51,1933.84,2022,325199,1.51,False,False,2.9200983999999996,Spend-based,Secondary
PO-00156,Epsilon_Group,2023-10-19,2023-11-07,Electronics,Delivered,250,45.92,41.02,3.0,Yes,41.02,10255.0,2023,334111,0.112,False,False,1.14856,Spend-based,Secondary
PO-00158,Beta_Supplies,2022-04-25,2022-04-30,Electronics,Delivered,829,45.98,40.39,,Yes,40.39,33483.31,2022,334111,0.112,False,False,3.7501307199999996,Spend-based,Secondary
PO-00159,Delta_Logistics,2022-10-28,2022-11-13,Raw Materials,Delivered,979,51.59,49.69,148.0,Yes,49.69,48646.509999999995,2022,325199,1.51,False,False,73.45623009999998,Spend-based,Secondary
PO-00160,Epsilon_Group,2023-03-22,2023-04-09,Electronics,Partially Delivered,1106,97.77,90.45,31.0,Yes,90.45,100037.7,2023,334111,0.112,False,False,11.2042224,Spend-based,Secondary
PO-00162,Alpha_Inc,2023-04-10,2023-04-21,Office Supplies,Delivered,552,60.48,56.78,10.0,Yes,56.78,31342.56,2023,453210,0.163,False,False,5.10883728,Spend-based,Secondary
PO-00163,Gamma_Co,2022-01-04,2022-01-12,Packaging,Delivered,456,80.53,77.86,26.0,Yes,77.86,35504.159999999996,2022,322211,0.49,False,False,17.397038399999996,Spend-based,Secondary
PO-00164,Delta_Logistics,2022-09-27,2022-10-05,Packaging,Delivered,1647,47.52,44.92,,Yes,44.92,73983.24,2022,322211,0.49,False,False,36.2517876,Spend-based,Secondary
PO-00166,Gamma_Co,2022-07-02,2022-07-18,Electronics,Delivered,854,90.24,85.53,,Yes,85.53,73042.62,2022,334111,0.112,False,False,8.18077344,Spend-based,Secondary
PO-00167,Delta_Logistics,2023-06-04,2023-06-17,Electronics,Delivered,148,103.57,98.62,23.0,No,98.62,14595.76,2023,334111,0.112,False,False,1.6347251200000001,Spend-based,Secondary
PO-00168,Delta_Logistics,2022-04-19,2022-04-24,MRO,Delivered,733,23.59,22.85,92.0,Yes,22.85,16749.05,2022,333999,0.26,False,False,4.354753,Spend-based,Secondary
PO-00169,Beta_Supplies,2023-10-03,2023-10-05,Raw Materials,Delivered,1945,103.2,88.56,,Yes,88.56,172249.2,2023,325199,1.51,False,False,260.096292,Spend-based,Secondary
PO-00170,Gamma_Co,2022-11-02,2022-11-21,Raw Materials,Delivered,775,57.0,49.14,48.0,Yes,49.14,38083.5,2022,325199,1.51,False,False,57.506085,Spend-based,Secondary
PO-00171,Delta_Logistics,2023-10-17,2023-10-21,Packaging,Delivered,1620,36.73,33.45,235.0,No,33.45,54189.00000000001,2023,322211,0.49,False,False,26.552610000000005,Spend-based,Secondary
